中型车流量,数据时间,大车流量,平均车速,监测点id,微型车流量,长车流量,车头距,id,车流量,平均占道率,轻型车流量
910,"	2021-12-23 00:00:00",1070,"7.5200000000000003E+001",1001,5958,1070,0,21825,7938,"9.6999999999999993E+000",5958
1195,"	2021-07-29 00:00:00",1138,"9.2900000000000006E+001",1001,9181,1138,0,21463,11514,"7.4000000000000004E+000",9181
1188,"	2017-06-11 00:00:00",696,"4.1E+001",1001,6203,1843,0,2901,10906,"1.21E+001",976
2399,"	2021-12-26 00:00:00",2796,"9.5400000000000006E+001",1001,15625,2790,0,21881,20834,"1.0699999999999999E+001",15639
1759,"	2021-12-27 00:00:00",1964,"9.5900000000000006E+001",1001,12226,1964,0,21901,15950,"8.5E+000",12227
160,"	2018-04-24 00:00:00",90,"5.1799999999999997E+001",1001,418,276,0,8941,1069,"4.5E+000",125
1248,"	2021-12-29 00:00:00",1416,"8.4599999999999994E+001",1001,8570,1416,0,21941,11234,"9.5E+000",8570
1504,"	2021-12-30 00:00:00",1586,"8.8099999999999994E+001",1001,10946,1586,0,21961,14036,"8.5999999999999996E+000",10946
965,"	2021-12-31 00:00:00",940,"8.5200000000000003E+001",1001,6814,940,0,21981,8719,"8.0E+000",6814
1844,"	2021-07-28 00:00:00",2341,"8.9299999999999997E+001",1001,12566,2341,0,21462,16751,"1.15E+001",12566
871,"	2022-01-02 00:00:00",0,"7.9599999999999994E+001",1001,5441,1040,0,21983,7352,"6.5999999999999996E+000",0
1027,"	2022-01-03 00:00:00",0,"7.8799999999999997E+001",1001,6607,1257,0,21984,8891,"6.7000000000000002E+000",0
992,"	2022-01-04 00:00:00",0,"7.9200000000000003E+001",1001,7202,1240,0,21985,9434,"9.0999999999999996E+000",0
1520,"	2021-07-27 00:00:00",1973,"8.8200000000000003E+001",1001,11375,1984,0,21461,14839,"1.0800000000000001E+001",11346
1042,"	2022-01-06 00:00:00",0,"8.5599999999999994E+001",1001,6457,1142,0,21987,8641,"7.7999999999999998E+000",0
1061,"	2022-01-07 00:00:00",0,"8.25E+001",1001,6374,1267,0,21988,8702,"7.5999999999999996E+000",0
1344,"	2022-01-08 00:00:00",0,"8.1400000000000006E+001",1001,8157,1745,0,21989,11246,"1.0E+001",0
2244,"	2021-07-26 00:00:00",3263,"9.35E+001",1001,14106,3263,0,21448,19613,"1.25E+001",14106
926,"	2017-05-25 00:00:00",534,"3.7E+001",1001,4219,1610,0,2821,8031,"1.1800000000000001E+001",742
1203,"	2021-07-25 00:00:00",1519,"9.3900000000000006E+001",1001,9948,1519,0,21447,12662,"8.9000000000000004E+000",9940
1411,"	2021-07-24 00:00:00",1526,"9.1900000000000006E+001",1001,10832,1526,0,21446,13769,"9.0E+000",10832
780,"	2017-05-21 00:00:00",479,"3.2100000000000001E+001",1001,5243,1611,0,2741,8769,"1.39E+001",656
1665,"	2021-07-23 00:00:00",1820,"9.1400000000000006E+001",1001,12855,1942,0,21445,15761,"1.0E+001",12276
124,"	2023-04-23 00:00:00",62,"9.7200000000000003E+001",1001,1400,62,0,23567,1582,"1.5E+000",1396
2157,"	2021-03-28 00:00:00",0,"9.1200000000000003E+001",1001,13403,2797,0,21189,18357,"1.14E+001",0
1412,"	2021-03-27 00:00:00",0,"8.7200000000000003E+001",1001,10201,1687,0,21188,13300,"8.5E+000",0
265,"	2023-04-19 00:00:00",204,"8.5799999999999997E+001",1001,2918,204,0,23507,3387,"2.6000000000000001E+000",2918
2109,"	2021-03-26 00:00:00",0,"8.9299999999999997E+001",1001,13591,2837,0,21187,18537,"1.26E+001",0
1836,"	2021-03-25 00:00:00",0,"8.6900000000000006E+001",1001,11139,2433,0,21186,15408,"1.0300000000000001E+001",0
767,"	2023-04-16 00:00:00",728,"9.1E+001",1001,6478,728,0,23467,7964,"6.0999999999999996E+000",6469
454,"	2023-04-15 00:00:00",346,"8.1700000000000003E+001",1001,3883,346,0,23447,4681,"4.2999999999999998E+000",3881
1220,"	2021-03-24 00:00:00",0,"9.0E+001",1001,8765,1171,0,21185,11156,"6.7999999999999998E+000",0
840,"	2021-03-23 00:00:00",0,"8.6099999999999994E+001",1001,5706,703,0,21184,7249,"5.7999999999999998E+000",0
664,"	2023-04-12 00:00:00",596,"8.25E+001",1001,5344,596,0,23407,6604,"5.0E+000",5344
1762,"	2021-03-22 00:00:00",0,"9.85E+001",1001,13261,2005,0,21183,17028,"8.6999999999999993E+000",0
1953,"	2021-03-21 00:00:00",0,"9.7599999999999994E+001",1001,14864,2661,0,21182,19478,"1.11E+001",0
352,"	2023-04-09 00:00:00",257,"8.3900000000000006E+001",1001,2981,257,0,23367,3590,"4.4000000000000004E+000",2981
659,"	2023-04-08 00:00:00",630,"8.4599999999999994E+001",1001,5220,630,0,23351,6506,"6.7999999999999998E+000",5217
789,"	2021-03-20 00:00:00",0,"9.1799999999999997E+001",1001,6870,773,0,21181,8432,"6.5999999999999996E+000",0
51,"	2021-03-19 00:00:00",73,"9.1400000000000006E+001",1001,6648,912,0,21164,716,"6.2999999999999998E+000",592
1268,"	2023-04-04 00:00:00",1437,"8.8200000000000003E+001",1001,9972,1441,0,23347,12645,"9.5999999999999996E+000",9940
1201,"	2021-03-18 00:00:00",0,"8.95E+001",1001,9373,1419,0,21163,11993,"7.5E+000",0
595,"	2021-03-17 00:00:00",0,"9.0700000000000003E+001",1001,5732,695,0,21162,7022,"4.5999999999999996E+000",0
457,"	2023-04-01 00:00:00",323,"8.2400000000000006E+001",1001,3634,323,0,23307,4401,"5.7999999999999998E+000",3621
371,"	2023-03-31 00:00:00",411,"7.2599999999999994E+001",1001,2798,413,0,23292,3570,"5.7999999999999998E+000",2788
914,"	2021-03-16 00:00:00",0,"8.8299999999999997E+001",1001,6875,1091,0,21161,8880,"5.7999999999999998E+000",0
670,"	2021-03-15 00:00:00",0,"9.2799999999999997E+001",1001,5511,804,0,21141,6985,"5.5999999999999996E+000",0
611,"	2021-03-14 00:00:00",0,"9.3599999999999994E+001",1001,4987,649,0,21121,6247,"5.0E+000",0
1391,"	2017-03-30 00:00:00",788,"3.1100000000000001E+001",1001,9188,1981,0,1701,14483,"1.7300000000000001E+001",1135
472,"	2023-03-25 00:00:00",387,"8.8099999999999994E+001",1001,4621,441,0,23273,4745,"4.5E+000",3886
690,"	2021-03-13 00:00:00",0,"9.2700000000000003E+001",1001,5756,668,0,21101,7114,"5.7000000000000002E+000",0
987,"	2023-03-24 00:00:00",980,"9.1599999999999994E+001",1001,7431,980,0,23272,9398,"6.2999999999999998E+000",7431
1436,"	2023-03-23 00:00:00",1408,"9.6799999999999997E+001",1001,11591,1410,0,23271,14414,"7.4000000000000004E+000",11570
546,"	2021-03-12 00:00:00",0,"8.5400000000000006E+001",1001,4812,595,0,21098,5953,"4.5999999999999996E+000",0
400,"	2021-03-11 00:00:00",0,"9.9200000000000003E+001",1001,3835,315,0,21097,4550,"3.1000000000000001E+000",0
1272,"	2023-03-19 00:00:00",1088,"8.8799999999999997E+001",1001,10233,1089,0,23267,12579,"7.5999999999999996E+000",10219
654,"	2021-03-10 00:00:00",0,"9.4700000000000003E+001",1001,5184,859,0,21096,6697,"5.2000000000000002E+000",0
1134,"	2021-03-09 00:00:00",0,"8.5799999999999997E+001",1001,7787,1342,0,21095,10263,"8.3000000000000007E+000",0
327,"	2023-03-13 00:00:00",211,"8.9599999999999994E+001",1001,7086,662,0,23230,3276,"7.5999999999999996E+000",2738
483,"	2023-03-12 00:00:00",433,"9.1200000000000003E+001",1001,4864,475,0,23229,5440,"5.7999999999999998E+000",4524
799,"	2021-03-08 00:00:00",0,"8.7299999999999997E+001",1001,5470,862,0,21094,7131,"6.5E+000",0
627,"	2021-03-07 00:00:00",0,"8.0200000000000003E+001",1001,4200,678,0,21093,5505,"6.5E+000",0
344,"	2023-03-08 00:00:00",251,"8.5299999999999997E+001",1001,3371,280,0,23225,3482,"3.8999999999999999E+000",2887
697,"	2021-03-06 00:00:00",0,"8.25E+001",1001,4550,849,0,21092,6096,"7.5999999999999996E+000",0
1057,"	2021-03-05 00:00:00",0,"8.1599999999999994E+001",1001,6232,1169,0,21091,8458,"8.8000000000000007E+000",0
2079,"	2022-06-03 00:00:00",2414,"9.9700000000000003E+001",1001,15371,2412,0,22160,19879,"9.4000000000000004E+000",15386
1457,"	2020-10-30 00:00:00",0,"8.1799999999999997E+001",1001,9407,1956,0,19982,12820,"1.31E+001",0
2115,"	2022-06-02 00:00:00",2667,"9.85E+001",1001,15148,2666,0,22159,19945,"1.04E+001",15163
1715,"	2022-06-01 00:00:00",2182,"9.3E+001",1001,12502,2182,0,22158,16399,"9.8000000000000007E+000",12502
1206,"	2020-10-29 00:00:00",0,"8.4799999999999997E+001",1001,7984,1669,0,19981,10859,"1.0800000000000001E+001",0
1450,"	2022-05-31 00:00:00",1739,"9.4E+001",1001,11151,1816,0,22157,13862,"9.1999999999999993E+000",10673
1816,"	2022-05-30 00:00:00",2178,"9.1400000000000006E+001",1001,12642,2178,0,22156,16636,"1.1699999999999999E+001",12642
919,"	2020-10-28 00:00:00",0,"8.3299999999999997E+001",1001,6469,1123,0,19961,8511,"1.0E+001",0
2196,"	2022-05-29 00:00:00",3169,"9.4099999999999994E+001",1001,15434,3308,0,22155,19959,"1.3300000000000001E+001",14594
1522,"	2022-05-28 00:00:00",2111,"9.2299999999999997E+001",1001,10842,2110,0,22154,14480,"8.8000000000000007E+000",10847
1206,"	2020-10-27 00:00:00",0,"8.5200000000000003E+001",1001,7374,1346,0,19941,9926,"8.9000000000000004E+000",0
722,"	2022-05-27 00:00:00",821,"8.25E+001",1001,5084,821,0,22153,6627,"7.9000000000000004E+000",5084
1094,"	2022-05-26 00:00:00",1167,"9.3599999999999994E+001",1001,8083,1167,0,22152,10344,"7.4000000000000004E+000",8083
964,"	2020-10-26 00:00:00",0,"8.4599999999999994E+001",1001,6329,1223,0,19921,8516,"1.2300000000000001E+001",0
975,"	2022-05-25 00:00:00",1073,"8.5599999999999994E+001",1001,6302,1073,0,22151,8350,"8.3000000000000007E+000",6302
1381,"	2022-05-24 00:00:00",1778,"8.6099999999999994E+001",1001,8637,1778,0,22150,11796,"1.04E+001",8637
449,"	2020-10-09 00:00:00",0,"2.0199999999999999E+001",1001,9910,1270,0,19904,11629,"5.8E+001",0
249,"	2017-10-27 00:00:00",144,"2.6699999999999999E+001",1001,819,450,0,5361,1855,"2.7000000000000002E+000",193
381,"	2017-10-28 00:00:00",190,"3.1100000000000001E+001",1001,1290,513,0,5381,2669,"2.0E+000",295
645,"	2022-05-23 00:00:00",725,"9.0E+001",1001,9785,1695,0,22149,5426,"8.5999999999999996E+000",4056
726,"	2022-05-22 00:00:00",0,"9.6099999999999994E+001",1001,5415,1003,0,22148,7144,"9.9000000000000004E+000",0
1194,"	2020-10-08 00:00:00",0,"2.7199999999999999E+001",1001,22284,3149,0,19903,26627,"5.3200000000000003E+001",0
1337,"	2022-05-21 00:00:00",1649,"8.8700000000000003E+001",1001,8772,1649,0,22147,11758,"1.0E+001",8772
1823,"	2022-05-20 00:00:00",2507,"8.4700000000000003E+001",1001,12874,2522,0,22146,17136,"1.25E+001",12806
1058,"	2020-10-07 00:00:00",0,"2.0300000000000001E+001",1001,20686,2754,0,19902,24498,"5.9200000000000003E+001",0
554,"	2017-11-04 00:00:00",305,"5.0899999999999999E+001",1001,2261,770,0,5521,4352,"2.7999999999999998E+000",462
576,"	2017-11-05 00:00:00",360,"4.8600000000000001E+001",1001,2245,1066,0,5541,4747,"6.0E+000",500
1443,"	2022-05-19 00:00:00",1994,"8.4599999999999994E+001",1001,10053,1993,0,22145,13507,"1.0300000000000001E+001",10070
1131,"	2022-05-18 00:00:00",1320,"8.2099999999999994E+001",1001,7474,1320,0,22144,9925,"1.0199999999999999E+001",7474
619,"	2020-10-06 00:00:00",0,"1.4699999999999999E+001",1001,13237,1811,0,19901,15667,"5.2700000000000003E+001",0
1589,"	2022-05-17 00:00:00",2528,"7.7299999999999997E+001",1001,11380,2528,0,22143,15497,"1.4699999999999999E+001",11380
1814,"	2022-05-16 00:00:00",2362,"8.15E+001",1001,10696,2362,0,22142,14872,"1.24E+001",10696
359,"	2020-10-05 00:00:00",0,"1.4E+001",1001,5679,1077,0,19881,7115,"3.85E+001",0
1487,"	2022-05-15 00:00:00",2120,"7.9099999999999994E+001",1001,9869,2117,0,22141,13484,"1.2800000000000001E+001",9877
826,"	2022-05-14 00:00:00",1386,"7.55E+001",1001,5506,1386,0,22124,7722,"1.3199999999999999E+001",5510
544,"	2020-10-04 00:00:00",0,"1.9699999999999999E+001",1001,9621,1530,0,19861,11695,"4.1700000000000003E+001",0
1009,"	2022-05-13 00:00:00",1614,"6.65E+001",1001,6994,1614,0,22123,9617,"9.1999999999999993E+000",6994
853,"	2022-05-12 00:00:00",1535,"7.8799999999999997E+001",1001,8102,2250,0,22122,7637,"1.11E+001",5249
554,"	2020-10-03 00:00:00",0,"1.9600000000000001E+001",1001,10004,1546,0,19851,12104,"4.1E+001",0
1229,"	2022-05-11 00:00:00",0,"8.3700000000000003E+001",1001,7200,1951,0,22121,10380,"1.2199999999999999E+001",0
1776,"	2022-05-10 00:00:00",0,"8.5200000000000003E+001",1001,11226,2614,0,22120,15616,"1.4E+001",0
578,"	2020-10-02 00:00:00",0,"1.7600000000000001E+001",1001,10340,1666,0,19850,12584,"4.4200000000000003E+001",0
1127,"	2023-04-02 00:00:00",1044,"8.3700000000000003E+001",1001,8134,1044,0,23327,10305,"8.3000000000000007E+000",8134
